ab  about
abv  above
ac  according
acc  account
ack  acknowledge
ackment  acknowledgement
acr  across
af  after
ag  again
agr  agree
agrble  agreeable
agst  against
al  also
ans  answer
anx  anxious
b  but
bec  because
bef  before
beh  behind
bel  below
ben  beneath
bet  between
bey  beyond
bk  book
bl  blind
brl  braille
bst  best
bth  both
by  was
c  can
cd  could
cer  certain
ch  child
chch  church
chn  children
d  do
dcv  deceive
dcvg  deceiving
dffc  difficult
djl  now
dk  is
dkl  are
dl  enough
do  doctor
e  every
ebdy  everybody
ed  what
eday  everyday
edever  whatever
edsoever  whatsoever
egh  espeicial
en  enough
eone  everyone
ething  everything
ewhere  everywhere
f  from
fd  food
fdjkl  we
fr  friend
frq  frequent
fst  first
fw  few
g  go
gd  good
gen  general
gg  were
ghvs  themselves
gov  govern
gt  get
h  have
hlp  help
hm  him
hme  home
hpe  hope
ind  indeed
inzmch  inasmuch
j  just
jce  justice
jly  justly
k  knowledge
l  like
lk  look
ll  little
lly  likely
lr  letter
lt  let
lwse  likewise
m  more
mch  much
mm  member
mn  man
mo  moreover
mr  Mister
n  not
nec  necessary
necly  necessarily
necs  necessaries
neverss  nevertheless
ning  notewithstanding
nr  nor
nrth  north
nte  note
ntz  notes
nw  new
oce  once
oly  only
p  people
partr  particular
pble  possible
pbly  possibly
pres  present
prev  prevent
proble  probable
probly  probably
ps  peoples
pt  put
q  quiet
qualitys  qualities
r  rather
rcv  receive
rcvg  receiving
rjc  rejoice
rjcg  rejoicing
rlz  rules
rq  rule
s  so
sa  saint
sbdy  somebody
sbjct  subject
sed  somewhat
sggst  suggest
sgn  sign
sh  shall
shd  should
show  somehow
sjk  me
sjkl  no
sjl  or
slf  self
sn  son
sone  someone
st  still
sthing  something
sts  sometimes
suly  surely
swhere  somewhere
t  that
td  today
tgr  together
th  this
thef  therefore
thk  think
thr  three
throughou  throughout
ths  thus
tk  took
tm  tommorrow
trn  turn
trst  trust
trth  truth
u  us
ud  undo
uj  unjust
ul  unlike
uss  unless
ut  untill
v  very
var  various
vl  value
vlble  valuable
w  will
wd  would
wh  which
whever  whichever
whf  wherefore
whm  whom
whr  wherever
wmen  women
wmn  woman
wst  west
x  it
xding  exceeding
y  you
yd  yesterday
yr  your
z  as
sd  said
