f act
fd better
fj course
fjk doing
fk etc
fdj first
fdjk going
fdk having
dj if
djk join
fs kind
fds life
fsj may
fsjk next
fsk old
fdsj pre
fdsjk quiet
fdsk represent
dsj same
dsjk true
fsl up
fdsl live
djkl willing
fsjl except
fsjkl yet
fskl side
fdsjl any
fdsjkl forget
fdskl offer
dsjl then
dsjkl within
fl change
fdl they
fjl she
fjkl than
fkl who
fdjl when
fdjkl want
fdkl outside
djl own
d an
ds beginning
dk concern
dkl differ
dl enter
dsk together
dskl giving
dsl he
sk inside
skl writing
sj strange
sjl origin
sjkl number
sjk might
s something
sl coming
