fdk has
﻿d another
dj idea
djk judge
djkl word
djl however
dk consider
dkl dear
dl endeavour
ds believe
dsj see
dsjk treat
dsjkl without
dsjl these
dsk too
dskl great
dsl hear
f appear
fd bear
fdj fear
fdjk goes
fdjkl week
fdjl whether
fdkl ounce
fdl speak
fds least
fdsj please
fdsjk quick
fdsjkl fortune
fdsjl anybody
fdsk read
fdskl office
fdsl leave
fj clear
fjk does
fjkl those
fjl share
fk each
fkl whose
fl chief
fs keep
fsj most
fsjk near
fsjkl year
fsjl extreme
fsk other
fskl seem
fsl upon
s thing
sj strength
sjk mean
sjkl nobody
sjl ordinary
sk instead
skl writes
sl comes
