dj improve
djk judgement
djkl world
djl allow
dkl down
dl enclose
ds belong
dsj spirit
dsjk truely
dsjkl made
dsjl their
dsk two
dskl gave
dsl her
f all
fd brought
fdj follow
fdjk gone
fdjkl well
fdjl while
fdk had
fdkl our
fdl spoke
fds long
fdsj pro
fdsjk quality
fdsjkl fortunate
fdsjl anything
fdsk regular
fdskl official
fdsl left
fj can't
fjk did
fjkl though
fjl shalt
fk even
fkl whole
fl charge
fs knew
fsj many
fsjk never
fsjkl your
fsjl example
fsk over
fskl soon
fsl unto
s things
sj strong
sjk my
sjkl nothing
sjl ordinarily
sk interest
skl written
sl came
dk continue
d along
