dj import
djk jesus
djkl work
djl how
dk condition
dkl during
dl entire
ds become
dsj some
dsjk time
dsjkl make
dsjl there
dsk towards
dskl give
dsl house
f among
fd bring
fdj father
fdjk god
fdjkl went
fdjl why
fdk here
fdkl ought
fdl special
fds lord
fdsj part
fdsjk question
fdsjkl foreign
fdsjl anyone
fdsk right
fdskl often
fdsl love
fj christ
fjk day
fjkl through
fjl short
fk ever
fkl where
fl character
fs know
fsj mother
fsjk name
fsjkl young
fsjl extra
fsk one
fskl ask
fsl under
s someone
sj straight
sjk mind
sjkl none
sjl order
sk instant
﻿d alone
skl write
sl common
