! puis
!b probable
!bm probablement
!bt probabilité
!c principe
!cl principal
!clm principalement
!cx principaux
!d produit
!d" producteur
!d0 production
!df productif
!dv productive
!dv productivement
!dvt productivité
!f profit
!f" profiteur
!fse profiteuse
!f¤ profitable
!j projet
!j" projecteur
!j0 projection
!m premier
!m premièrement
!mf primitif
!mv primitive
!mvm primitivement
!n prochaine
!nm prochainement
!p proportion
!pl proportionnel
!plm proportionnellement
!plt proportionnalité
!q presque
!r première
!s près
!t pratique
!tm pratiquement
!t¤ praticable
!v preuve
!x prix
!à prochain
!ï progrès
!ï0 progression
!ïf progressif
!ïv progressive
!ïvm progressivement
!œ proposition
" été
% on
' la
( du
) sous
)\b très bien
)g tragique
)gm tragiquement
)j trajet
)l travail
)l" travailleur
)lse travailleuse
)p trop
)q tranquille
)qm tranquillement
)qt tranquilité
)s très
)v travers
)x travaux
* si
*f inférieur
*fm inférieurement
*ft infériorité
*g intelligent
*gc intelligence
*gm intelligemment
*q inquiet
*qd inquiétude
*t inférieur
*tm inférieurement
*è inquiète
- celui
-m commencement
-n commun
-n0 communion
-nl communal
-nm communément
-nt communauté
-ntr communautaire
-nx communaux
-t complète
-tm complètement
-ë complet
-ëm complément
-ëmr complémentaire
. dès
.c discours
.p disposition
.pf dispositif
.t distant
.tc distance
/ ai
/u ailleurs
0 lui
:c conclusion
:d condition
:dl conditionnel
:dlm conditionnellement
:f confiant
:fc confiance
:n connaître
:nc connaissance
:s conscient
:sc conscience
:scse consciencieuse
:scsm consciencieusement
:scx consciencieux
:sm consciemment
:v conversation
:ï congrès
;q brusque
;qm brusquement
;t bruit
;v brave
;vm bravement
;| braille
;à branche
;àm branchement
? en
?@ ensemble
?c encore
?d endroit
?f enfin
?n ennui
?nse ennuyeyse
?nx ennuyeux
?q enquête
?q" enquêteur
?qse enquêteuse
?r entière
?rm entièrement
?s ensuite
?t entier
?v environ
?|m en mesure
?|r en réalité
@ les
a! après
a0 action
a0r actionnaire
ab absolu
abm absolument
ac avec
af afin
aff affaire
ai ainsi
al alors
am amour
amse amoureuse
amsm amoureusement
amx amoureux
ap apparent
apc apparence
apm apparemment
ar avoir
at attention
atf attentif
atv attentive
atvm attentivement
av avant
avc avance
avcm avancement
avg avantage
avgse avantageuse
avgsm avantageusement
avgx avantageux
ay ayant
az assez
b bien
b" besogne
b"se besogneuse
b"x besogneux
b* besoin
bc beaucoup
bd boulevard
bf bienfait
bf" bienfaiteur
bfc bienfaisance
bg budget
bgr budgétaire
bh bonheur
bj bonjour
bn bonne
bnm bonnement
bo bonté
bt bientôt
bvc bienveillance
bz bizarre
bzm bizarrement
bê bête
bêm bêtement
c ce
c" certain
c'e-à-d c'est à dire
c( certes
c(d certitude
c) contre
c)r contraire
c)rm contrairement
c:c circonstance
c:cl circonstanciel
c? comment
c?r commentaire
ca cela
cb combien
cc ceci
cd considérable
cdm considérablement
cdâ considération
cg courage
cgse courageuse
cgsm courageusement
cgx courageux
cl celle
cm comme
cn certaine
cnm certainement
cp cependant
cq conséquent
cqc conséquence
cqm conséquemment
cr cœur
cs ces
ct cette
cv civil
cvm civilement
cvt civilité
cvâ civilisation
cx ceux
cè caractère
céq caractéristique
cë couple
cô côté
d de
d" digne
d"m dignement
d"t dignité
d"tr dignitaire
d'a d'abord
d( derrière
d* destin
d*r destinataire
d*â destination
d/ dśeormais
d? différent
d?c différence
d@m différemment
da davantage
db debout
dc donc
dd dedans
df difficile
dfm difficilement
dft difficulté
