Afrikaans-Grade-1 afr-za-g1.ctb
Afrikaans-Grade-2 afr-za-g2.ctb
Arabic-Computer-Braille ar-ar-comp8.utb
Arabic-Grade-1 ar-ar-g1.utb
Arabic-Grade-2 ar-ar-g2.ctb
Assamese-Grade-1 as-in-g1.utb
Awadhi-Grade-1 aw-in-g1.utb
Bengali-Grade-1 be-in-g1.utb
Bulgarian-Grade-1 bg.ctb
Bihari-Grade-1 bh.ctb
Tibetan-Grade-1 bo.ctb
Box-Drowing-Braille boxes.ctb
Braj-Braille-Grade-1 br-in-g1.utb
Catalan-Grade-1 ca-g1.ctb
Cherokee-Grade-1 chr-us-g1.ctb
Sorani-Kurdish-Grade-1 ckb-g1.ctb
Czech-Computer-Braille cs-comp8.utb
Czech-Grade-1 cs-g1.ctb
Welsh-Grade-1 cy-cy-g1.utb
Welsh-Grade-2 cy-cy-g2.ctb
Danish-Computer-Braille da-dk-g08.ctb
Danish-6-dots-Grade-1 da-dk-g16.ctb
Danish-8-dots-Grade-1 da-dk-g18.ctb
Danish-6-dots-Grade-2 da-dk-g26.ctb
Danish-6-dots-Grade-1.5 da-dk-g26l.ctb
Danish-8-dots-Grade-2 da-dk-g28.ctb
Danish-8-dots-Grade-1.5 da-dk-g28l.ctb
Danish-Log-Text-Braille da-lt.ctb
German-Chess-Braille de-chess.ctb
German-Computer-Braille de-de-comp8.ctb
German-Grade-0-Braille de-g0.utb
German-Grade-1-Braille de-g1.ctb
German-Grade-2-Braille de-g2.ctb
Dravidian-Braille dra.ctb
Greek-Braille el.ctb
English-Canada en_CA.ctb
English-Chess-Braille en-chess.ctb
English-UK-Computer-Braille en-gb-comp8.ctb
English-UK-Grade-1 en-gb-g1.utb
English-UK-Grade-2 en-GB-g2.ctb
English-India-Grade-1 en-in-g1.ctb
English-US-NABCC en-nabcc.utb
Unified-English-Grade-1 en-ueb-g1.ctb
Unified-English-Grade-2 en-ueb-g2.ctb
Unified-English-Math en-ueb-math.ctb
English-US-6-dot-Computer-Braille en-us-comp6.ctb
English-US-8-dot-Computer-Braille en-us-comp8.ctb
English-US-Grade-1 en-us-g1.ctb
English-US-Grade-2 en-us-g2.ctb
English-US-Mathtext en-us-mathtext.ctb
Esperanto eo-g1.ctb
Esperanto-X-System-Grade-1 eo-g1-x-system.ctb
Spanish-Computer-Braille Es-Es-G0.utb
Spanish es-g1.ctb
Spanish-Grade-2 es-g2.ctb
Estonian et.ctb
Estonian-Grade-0 et-g0.utb
Ethiopic-Grade-1 ethio-g1.ctb
Persian-Computer-Braille fa-ir-comp8.ctb
Persian fa-ir-g1.utb
Finnish fi1.ctb
Finnish-8-dot-Braille fi2.ctb
Finnish-Computer-Braille fi-fi-8dot.ctb
Finnish-Braille fi.utb
French-Grade-1 fr-bfu-comp6.utb
