dj ിത്തര
djk ജനങ്ങ
djl ൗദാര്യ
dk ഞങ്ങ
dl െല്ലാ
dsj സാംസ്കാരിക
dsjk തത്കാല
dsjkl കിട്ട
dsjl ധാരാള
dskl അവര
f െന്നാല
fd ബന്ധപ്പെട്ട
fdj പലതര
fdjk ഗുണ
fdjkl പ്രധാന
fdkl ൂര്‍ജ്ജ
fdl ഘടക
fds ലക്ഷ്യ
fdsj പറഞ്ഞ
fdsjkl വേണ്ട
fdskl കഴിഞ്ഞ
fdsl വളരെ
fj ചോദി
fjk ദിവസ
fjl ശാസ്ത്ര
fk േറ്റവു
fl ച്ഛ
fs കാരണ
fsj മനുഷ്യ
fsjk നമ്മ
fsjkl യഥാര്‍ത്ഥ
fsjl ൊരിക്ക
fsk ൊഴികെ
fskl സാവധാന
fsl ുദാഹര
kl ിടയില
sj ൈക്യ
sjkl വേണ
sjl നിങ്ങ
sk ീശ്വര
skl ാവശ്യ
sl അയാള
d ന്റ
sjk ആവശ്യ
jl ദുഃഖ
fdjl കാഴ്ചയില്ല
fjkl സ്ഥിര
jk ഭൂമി
dsk പിന്ന
fdsjl വര്‍ഷ
ds അവള
dkl അദ്ദേഹ
dsl അവന
